ABI2	ARPC4-TTLL3
ABI2	ARPC5
ABI2	BAIAP2
ABI2	BRK1
ABI2	CYFIP1
ABI2	CYFIP2
ABI2	MAPK1
ABI2	MAPK3
ABI2	MYH2
ABI2	MYH9
ABI2	MYO10
ABI2	MYO1C
ABI2	MYO5A
ABI2	MYO9B
ABI2	NCKAP1
ABI2	NCKAP1L
ABI2	RAC1
ABI2	RAC2
ABI2	RAC3
ABI2	WASF1
ABI2	WASF2
ABI2	WASF3
ABL1	ATM
ABL1	ATR
ABL1	BAIAP2
ABL1	BLK
ABL1	BNIP2
ABL1	BOC
ABL1	BRCA1
ABL1	BRK1
ABL1	CABLES1
ABL1	CABLES2
ABL1	CAP1
ABL1	CAP2
ABL1	CBL
ABL1	CBLB
ABL1	CBLC
ABL1	CCNA2
ABL1	CCND1
ABL1	CCNE1
ABL1	CD55
ABL1	CDC42
ABL1	CDH15
ABL1	CDH2
ABL1	CDH4
ABL1	CDK2
ABL1	CDK4
ABL1	CDK5
ABL1	CDK6
ABL1	CDKN2A
ABL1	CDON
ABL1	CLASP1
ABL1	CLASP2
ABL1	CRK
ABL1	CRKL
ABL1	CTNNA1
ABL1	CTNNA2
ABL1	CTNNB1
ABL1	CTNND1
ABL1	CYFIP2
ABL1	E2F1
ABL1	EPHA1
ABL1	EPHA2
ABL1	EPHA3
ABL1	EPHA4
ABL1	EPHA5
ABL1	EPHA6
ABL1	EPHA7
ABL1	EPHA8
ABL1	EPHB1
ABL1	EPHB2
ABL1	EPHB3
ABL1	EPHB4
ABL1	EPHB6
ABL1	EPS8
ABL1	FGR
ABL1	FYN
ABL1	GPC1
ABL1	GRB2
ABL1	HCK
ABL1	HDAC1
ABL1	LCK
ABL1	LRP8
ABL1	LYN
ABL1	MAP2K6
ABL1	MAPK11
ABL1	MAPK12
ABL1	MAPK14
ABL1	MAPK8
ABL1	MDM2
ABL1	MYC
ABL1	NCKAP1
ABL1	NTRK1
ABL1	NTRK2
ABL1	NTRK3
ABL1	PDGFB
ABL1	PDGFRB
ABL1	PLCG1
ABL1	RAC1
ABL1	RAC2
ABL1	RAC3
ABL1	RAD51
ABL1	RB1
ABL1	RELN
ABL1	RIN1
ABL1	ROBO1
ABL1	SHC1
ABL1	SHC2
ABL1	SHC3
ABL1	SHC4
ABL1	SLIT1
ABL1	SLIT2
ABL1	SOS1
ABL1	SPAG9
ABL1	SRC
ABL1	STAT5A
ABL1	STAT5B
ABL1	TERT
ABL1	TFDP1
ABL1	TP63
ABL1	TP73
ABL1	TREX1
ABL1	WASF1
ABL1	WASF2
ABL1	WASF3
ABL1	YES1
ABL2	CAP1
ABL2	CAP2
ABL2	CD55
ABL2	CLASP1
ABL2	CLASP2
ABL2	CRK
ABL2	CRKL
ABL2	GPC1
ABL2	NCK1
ABL2	NCKAP1
ABL2	PIR
ABL2	PSMA7
ABL2	RAC1
ABL2	RAC2
ABL2	RAC3
ABL2	RIN1
ABL2	ROBO1
ABL2	SLIT2
ABLIM1	DCC
ABLIM1	DOCK1
ABLIM1	FYN
ABLIM1	NCK1
ABLIM1	NTN1
ABLIM1	PTK2
ABLIM1	RAC1
ABLIM1	RAC2
ABLIM1	RAC3
ABLIM1	SRC
ABLIM1	TRIO
ABLIM2	DCC
ABLIM2	DOCK1
ABLIM2	FYN
ABLIM2	NCK1
ABLIM2	NTN1
ABLIM2	PTK2
ABLIM2	RAC1
ABLIM2	RAC2
ABLIM2	RAC3
ABLIM2	SRC
ABLIM2	TRIO
ABLIM3	DCC
ABLIM3	DOCK1
ABLIM3	FYN
ABLIM3	NCK1
ABLIM3	NTN1
ABLIM3	PTK2
ABLIM3	RAC1
ABLIM3	RAC2
ABLIM3	RAC3
ABLIM3	SRC
ABLIM3	TRIO
ABO	FUT1
ABO	FUT2
ABO	FUT3
ABO	FUT4
ABO	FUT5
ABO	FUT6
ABO	FUT9
ABR	CDC42
ABR	RAC1
ABR	RAC2
ABR	RAC3
ABR	RHOA
ABR	RHOB
ABR	RHOBTB1
ABR	RHOBTB2
ABR	RHOC
ABR	RHOD
ABR	RHOF
ABR	RHOG
ABR	RHOH
ABR	RHOJ
ABR	RHOQ
ABR	RHOT1
ABR	RHOT2
ABR	RHOU
ABR	RHOV
ACAA1	ACAA2
ACAA1	ACADL
ACAA1	ACADM
ACAA1	ACADS
ACAA1	ACADSB
ACAA1	ACADVL
ACAA1	ACAT1
ACAA1	ACAT2
ACAA1	ACOT8
ACAA1	ACOX1
ACAA1	ACOX3
ACAA1	ACSBG1
ACAA1	ACSBG2
ACAA1	ACSL1
ACAA1	ACSL3
ACAA1	ACSL4
ACAA1	ACSL5
ACAA1	ACSL6
ACAA1	AGPS
ACAA1	ALDH6A1
ACAA1	BAAT
ACAA1	CRAT
ACAA1	CROT
ACAA1	EHHADH
ACAA1	FAR1
ACAA1	FAR2
ACAA1	GNPAT
ACAA1	HACL1
ACAA1	HADH
ACAA1	HADHA
ACAA1	HADHB
ACAA1	HMGCL
ACAA1	HMGCS1
ACAA1	HMGCS2
ACAA1	HSD17B10
ACAA1	HSD17B4
ACAA1	PCCA
ACAA1	PCCB
ACAA1	SLC27A2
ACAA2	ACADL
ACAA2	ACADM
ACAA2	ACADS
ACAA2	ACADSB
ACAA2	ACADVL
ACAA2	ACAT1
ACAA2	ACAT2
ACAA2	ACOX1
ACAA2	ACOX3
ACAA2	ACSBG1
ACAA2	ACSBG2
ACAA2	ACSL1
ACAA2	ACSL3
ACAA2	ACSL4
ACAA2	ACSL5
ACAA2	ACSL6
ACAA2	ALDH6A1
ACAA2	EHHADH
ACAA2	HADH
ACAA2	HADHA
ACAA2	HADHB
ACAA2	HMGCL
ACAA2	HMGCS1
ACAA2	HMGCS2
ACAA2	HSD17B10
ACAA2	MECR
ACAA2	PCCA
ACAA2	PCCB
ACAA2	SLC27A2
ACACA	ACACB
ACACA	ACAT1
ACACA	ACAT2
ACACA	ACLY
ACACA	ACOT12
ACACA	ACSS1
ACACA	ACSS2
ACACA	ALDH6A1
ACACA	CA1
ACACA	CA13
ACACA	CA2
ACACA	CA3
ACACA	CA7
ACACA	DLAT
ACACA	ELOVL1
ACACA	ELOVL2
ACACA	ELOVL3
ACACA	ELOVL4
ACACA	ELOVL5
ACACA	ELOVL6
ACACA	ELOVL7
ACACA	FASN
ACACA	HLCS
ACACA	MCAT
ACACA	MLX
ACACA	MLXIPL
ACACA	MLYCD
ACACA	PRKAA1
ACACA	PRKAA2
ACACA	PRKAB1
ACACA	PRKAB2
ACACA	PRKAG1
ACACA	PRKAG2
ACACA	PRKAG3
ACACA	SLC25A20
ACACA	SLC4A1
ACACA	SLC5A6
ACACA	SREBF1
ACACB	ACAT1
ACACB	ACAT2
ACACB	ACOT12
ACACB	ACSS1
ACACB	ACSS2
ACACB	ALDH6A1
ACACB	CPT1A
ACACB	CPT1B
ACACB	CPT1C
ACACB	DLAT
ACACB	FASN
ACACB	HLCS
ACACB	MCAT
ACACB	MLX
ACACB	MLXIPL
ACACB	MLYCD
ACACB	PRKAA1
ACACB	PRKAA2
ACACB	PRKAB1
ACACB	PRKAB2
ACACB	PRKAG1
ACACB	PRKAG2
ACACB	PRKAG3
ACACB	SLC5A6
ACACB	SP1
ACACB	SREBF1
ACAD8	ACADM
ACAD8	ACADS
ACAD8	ACADSB
ACAD8	BCKDHA
ACAD8	BCKDHB
ACAD8	DBT
ACAD8	DLD
ACAD8	ECHS1
ACAD8	EHHADH
ACAD8	HADHA
ACAD8	HIBCH
ACADL	ACADM
ACADL	ACADS
ACADL	ACADSB
ACADL	ACADVL
ACADL	ACAT1
ACADL	ACOX1
ACADL	ACOX3
ACADL	ACSBG1
ACADL	ACSBG2
ACADL	ACSL1
ACADL	ACSL3
ACADL	ACSL4
ACADL	ACSL5
ACADL	ACSL6
ACADL	ALAS1
ACADL	ALAS2
ACADL	BDH1
ACADL	CPT1A
ACADL	CPT1B
ACADL	CPT1C
ACADL	CPT2
ACADL	CRLS1
ACADL	CS
ACADL	DECR1
ACADL	DLAT
ACADL	DLD
ACADL	ECHS1
ACADL	ECI1
ACADL	EHHADH
ACADL	GLUD1
ACADL	GLYAT
ACADL	GLYATL1
ACADL	GLYATL2
ACADL	HADHA
ACADL	HADHB
ACADL	HIBADH
ACADL	HIBCH
ACADL	HMGCS2
ACADL	HSD17B10
