Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
GPR183,9,0.017,0.8071095035,0.369,0.2878490156,-0.095,0.9904924993,0.317,0.368212425
GPR19,10,-0.088,0.7375766269,0.210,0.2897965321,0.146,0.3942526051,0.169,0.5730437476
GPR20,9,-0.101,0.7209439833,-0.101,0.7652127747,-0.347,0.5304033208,-0.317,0.5588413748
GPR21,10,0.077,0.5827193348,-0.030,0.5960872246,0.099,0.7036976262,-0.212,0.63834329
GPR22,10,0.289,0.0637860909,0.224,0.6384672493,0.392,0.3562279036,0.270,0.5255606977
GPR25,9,0.066,0.7449094115,-0.078,0.9861434461,-0.220,0.6193092514,0.053,0.8121141906
GPR26,9,0.005,0.8056850954,-0.012,0.1191768118,-0.298,0.7401247047,-0.059,0.6922279892
GPR27,9,-0.299,0.977503362,-0.857,0.5420012704,-0.001,0.9999813664,-0.369,0.7304323398
GPR3,10,0.125,0.6699284741,-0.261,0.8147118668,-0.406,0.6308998022,-0.267,0.5325375279
GPR31,7,-0.140,0.993661476,-0.843,0.5791539626,-0.190,0.953208299,-0.791,0.8765954433
GPR32,9,0.163,0.6130026592,0.101,0.846603647,-0.272,0.8017879542,-0.479,0.1934880274
GPR34,10,0.105,0.4205574651,0.412,0.1291125401,-0.197,0.9101621666,0.138,0.4688854282
GPR35,9,0.261,0.2361702648,0.280,0.3849936601,0.387,0.2648978068,0.224,0.4740858832
GPR37,10,0.095,0.5389516199,-0.438,0.7881296569,0.068,0.9260480109,0.033,0.9638316377
GPR37L1,9,0.015,0.8764539007,-0.106,0.5648539832,0.119,0.5197513857,0.152,0.9235722473
GPR39,9,0.098,0.3387332796,-0.294,0.7985692114,0.077,0.7492359638,0.189,0.7019006588
GPR4,10,0.098,0.4796815959,-0.213,0.6912140685,-0.015,0.861807575,-0.195,0.579879853
GPR45,8,-0.843,0.1761330965,-2.325,0.3936524268,-0.307,0.8575645397,-1.028,0.1837005519
GPR50,10,0.163,0.1535637233,0.553,0.0059160808,-0.017,0.7830147826,0.526,0.1957700817
GPR52,10,-0.116,0.6449646738,-0.026,0.7867116333,-0.036,0.9430783926,0.091,0.8165757191
GPR55,9,0.024,0.6549713751,-0.623,0.4970278933,0.477,0.0333036345,0.083,0.4784921919
GPR56,10,-0.097,0.5546445017,-0.864,0.5910082751,-0.562,0.9554786507,-0.313,0.8103026693
GPR6,9,-0.036,0.8408311575,-0.142,0.8566791806,0.097,0.5849294481,0.149,0.767683202
GPR61,9,-0.397,0.0931745513,-0.796,0.3091231362,-0.050,0.9269104139,-0.600,0.1041802579
GPR62,9,-0.648,0.304829715,-0.428,0.4970278933,-0.289,0.6350147913,-0.109,0.9955589765
GPR63,9,0.244,0.3977951586,0.222,0.4659081888,0.240,0.6156231886,0.101,0.8761302615
GPR64,10,0.201,0.4458092797,0.311,0.2424804866,-0.006,0.718268917,0.118,0.4067355321
GPR65,10,0.185,0.3519674848,0.339,0.1990428632,-0.044,0.984839227,0.070,0.6565549951
GPR68,10,0.051,0.5590334981,-0.056,0.7718749288,-0.084,0.9963837548,-0.273,0.9355956604
GPR75,9,-0.308,0.7291814863,-1.463,0.0395165122,-0.060,0.9237018251,-0.130,0.8727360293
GPR75-ASB3,10,0.237,0.1619607738,0.137,0.4186207348,-0.028,0.9621689612,0.111,0.7936240733
GPR78,8,-0.216,0.8120486624,0.059,0.9325208388,-0.144,0.9909719195,0.140,0.7941763047
GPR82,10,0.123,0.687319247,0.367,0.1581561342,0.186,0.7822305407,0.335,0.0408839073
GPR83,10,0.118,0.3640924848,-0.134,0.5492512985,-0.057,0.7749629542,-0.074,0.9266778359
GPR84,8,-0.242,0.9835163603,-0.955,0.2813518151,-0.401,0.9334155853,-0.775,0.5924291016
GPR85,10,0.177,0.1034076318,-0.183,0.9044020343,0.299,0.3294559451,0.412,0.0644273846
GPR87,10,0.088,0.5304478243,0.062,0.8169069792,0.146,0.854299059,-0.166,0.7530988255
GPR88,9,-0.566,0.3880696504,-0.514,0.6267821274,-0.525,0.6099897169,-0.593,0.6363009587
GPR89A,10,-0.202,0.7158293602,-1.077,0.7868737331,-0.370,0.6034429952,-0.394,0.577214038
GPR89B,10,-0.167,0.9577673512,-1.044,0.9410386683,-0.393,0.6552303264,-0.313,0.9022147948
GPR97,10,-0.247,0.9522938604,-0.170,0.6850172445,-0.063,0.9955930432,-0.034,0.8641574226
GPR98,9,-0.076,0.3761697647,-0.192,0.7041357396,0.027,0.4166225406,0.331,0.1746349244
GPRASP1,10,0.261,0.2557496077,0.489,0.2494980145,0.160,0.411648439,0.547,0.1062745592
GPRASP2,9,-0.027,0.8687260295,-0.081,0.9842920758,0.076,0.8860024848,0.247,0.4405408087
GPRC5A,10,-0.113,0.7326049578,-0.005,0.7013417099,0.059,0.4912337134,0.258,0.1591071893
GPRC5B,9,-0.243,0.9807140292,-0.744,0.4616665151,-0.058,0.6687740124,-0.312,0.9610567165
GPRC5C,10,0.028,0.868692746,-0.117,0.9466729359,0.107,0.7810637697,0.037,0.9477332689
GPRC5D,9,0.058,0.7392946547,-0.437,0.9149998242,0.225,0.7137590096,-0.054,0.9312990369
GPRC6A,10,0.111,0.4869931211,-0.055,0.2118269479,0.432,0.0443978356,-0.018,0.9360633708
GPRIN1,10,-0.285,0.9058155094,-0.954,0.7774865407,-0.345,0.8490589734,0.074,0.7495993555
GPRIN2,9,-0.479,0.5363282271,-2.180,0.0268772485,-0.166,0.4652203867,-0.478,0.304079313
GPRIN3,9,-0.175,0.9314212832,0.140,0.6988186948,-0.049,0.9163499731,-0.326,0.8776974476
GPS1,9,-2.358,0.0004272256,-2.301,0.0031855552,-2.491,5.80E-05,-1.309,0.007644415
GPS2,8,-0.107,0.5832857506,0.203,0.5200802499,0.344,0.4866296264,0.230,0.6055945513
GPSM1,9,-0.338,0.5890989703,-0.539,0.5805001986,-0.090,0.9855885912,-0.335,0.9996777582
GPSM2,9,-0.144,0.9869845396,-0.596,0.5388466182,0.147,0.7430794672,0.200,0.5451024894
GPSM3,10,-0.684,0.2216467336,-1.154,0.0545593118,-0.673,0.8557129821,-0.812,0.8368421654
GPT,9,-0.509,0.1349363048,-0.393,0.8336950956,-0.049,0.8092025648,-0.119,0.8693010877
GPT2,9,0.354,0.1158795343,-0.243,0.6847225822,0.368,0.2287406994,0.639,0.0014020342
GPX1,10,0.195,0.3721025981,-0.123,0.9212569426,0.279,0.7371799338,0.007,0.8906494468
GPX2,9,0.053,0.5051594294,-0.312,0.7514136818,-0.044,0.9703427875,0.156,0.4647270564
GPX3,9,0.045,0.6317072206,-0.047,0.8779062647,0.063,0.5474284921,0.103,0.8217991097
GPX4,10,-1.443,0.3957849265,-0.038,0.8076668194,-1.492,0.2534659685,-0.133,0.8580232218
GPX5,10,-0.104,0.1717131705,-0.174,0.4785406459,-0.290,0.8276186873,0.013,0.3524125793
GPX6,10,0.126,0.4493958081,0.410,0.0445411847,0.674,0.0020517274,0.510,0.1398725707
GPX7,10,0.191,0.5899816264,0.135,0.7366131623,0.479,0.2041840236,0.266,0.4124500394
GPX8,9,0.023,0.8376158709,0.138,0.599537327,0.235,0.4234322316,0.278,0.4097004
GRAMD1A,8,-0.432,0.9157865294,-1.063,0.5462566307,-0.396,0.9044554956,-0.629,0.6104676628
GRAMD1B,10,-0.203,0.9572223618,-0.600,0.6654399668,-0.277,0.9638560349,-0.186,0.9966760833
GRAMD1C,10,0.004,0.7943365281,0.481,0.0256386803,0.206,0.2708149491,0.204,0.3294408165
GRAMD2,9,-0.715,0.1766097106,0.146,0.5089275479,0.088,0.8865662979,0.069,0.8189548902
GRAMD3,10,-0.028,0.8611609226,0.093,0.6809434505,-0.004,0.601155471,0.253,0.2863363897
GRAMD4,9,-0.766,0.7314395116,-1.048,0.9546782843,-0.695,0.8320377766,-0.488,0.795628884
GRAP,9,-0.246,0.7776626506,-1.114,0.0986102086,-0.113,0.7235677266,-0.194,0.9362385467
GRAP2,10,0.005,0.8705044471,-0.511,0.7501699417,-0.125,0.9231339175,-0.118,0.7355218316
GRAPL,9,-0.740,0.3102367759,-1.057,0.0673809332,-0.325,0.7075054694,0.120,0.8447089767
GRASP,8,0.153,0.4054104243,-0.099,0.8646724997,0.153,0.8336426852,0.272,0.5550599333
GRB10,9,-0.600,0.7519459768,-0.483,0.9735549669,-0.937,0.7258555611,-0.712,0.4220810645
GRB14,10,0.197,0.12269437,0.106,0.6954685493,0.179,0.7909851482,-0.136,0.3615686895
GRB2,9,-1.991,0.035547368,-3.783,0.0038472081,0.501,0.1200014058,0.144,0.5790332086
GRB7,9,-0.640,0.6749424539,-0.976,0.9164424315,-0.521,0.4502142324,-0.345,0.7266649186
GREB1,10,0.134,0.5813993067,0.221,0.1905304952,0.273,0.2880365005,0.406,0.0494145753
GREB1L,10,-0.002,0.2971980478,-0.161,0.8281796693,0.109,0.2112595655,0.043,0.8278189909
GREM1,9,-0.160,0.4202843689,0.202,0.8307261451,-0.310,0.5466508075,-0.111,0.6810115125
GREM2,10,-0.394,0.8095575401,-0.255,0.9908654217,-0.622,0.9987868647,-0.408,0.9719083538
GRHL1,10,0.262,0.068252924,0.214,0.5367365433,0.163,0.5208101836,0.361,0.3470191179
GRHL2,10,-0.237,0.3817489635,0.095,0.4704612805,0.107,0.7419673229,0.295,0.378307564
GRHL3,9,0.050,0.9240376943,-0.319,0.7739922809,0.073,0.6816885305,-0.526,0.7999585267
GRHPR,9,-0.546,0.9467354718,-1.440,0.0394199037,-0.210,0.7734698667,-0.106,0.9794811179
GRIA1,10,-0.190,0.9386172043,-0.314,0.8544685418,0.186,0.5098736869,0.121,0.7700020488
GRIA2,9,0.321,0.1965876913,0.392,0.0587234261,0.391,0.1709813441,0.005,0.7998608669
GRIA3,7,0.133,0.5634430897,0.420,0.0976934677,0.050,0.9964682412,0.315,0.4384208662
GRIA4,10,0.203,0.378622071,0.213,0.1736580268,0.080,0.8792175926,-0.143,0.4964169855
GRID1,10,-0.076,0.9510034399,-0.408,0.9073776521,0.271,0.546108009,-0.392,0.2790236683
GRID2,10,0.086,0.6093571395,0.382,0.0815249552,0.188,0.6320806899,0.351,0.2235893022
GRID2IP,9,-0.773,0.2207496506,-0.662,0.9762610108,-0.512,0.9626854395,-0.324,0.9410266904
GRIK1,8,0.143,0.3663984138,-0.008,0.7449135717,0.271,0.1464612029,0.212,0.7640667762
GRIK2,9,0.198,0.1790696475,-0.027,0.6879714437,0.185,0.9012060459,0.081,0.8007370784
GRIK3,9,-0.108,0.9745830134,-0.031,0.8646952035,0.527,0.1310017105,0.100,0.603015599
GRIK4,10,-0.179,0.8898638721,-1.077,0.735754361,-0.517,0.577638025,-0.660,0.9429044655
GRIK5,10,-1.096,0.1167476541,-0.807,0.9462485311,-0.031,0.9909719195,-0.817,0.3994708342
GRIN1,9,-0.046,0.9129735732,-0.050,0.6790331826,-0.099,0.9288019796,-0.277,0.6922279892
GRIN2A,9,-0.066,0.6501718227,-0.137,0.9893793174,0.079,0.7171659849,0.274,0.7368248346
GRIN2B,8,0.197,0.4007220388,-0.290,0.4088263893,-0.144,0.8416518169,-0.102,0.9694420946
GRIN2C,10,-0.367,0.9565842435,-0.484,0.5815246568,-0.009,0.9730129102,-0.355,0.3514033134
GRIN2D,9,-0.203,0.7803063232,-0.180,0.9863321972,0.095,0.8791602873,0.143,0.6916239021
GRIN3A,10,0.186,0.5504109831,0.093,0.7283926127,0.082,0.7767709658,0.397,0.0386664164
GRIN3B,8,-0.245,0.8113818347,-0.310,0.9130020991,-0.081,0.9984412016,-0.300,0.7640667762
GRINA,9,-0.220,0.7226158029,-0.312,0.9552657756,-0.170,0.9999813664,0.198,0.5701160384
GRIP1,10,-0.134,0.9649573409,0.073,0.8515977952,0.040,0.6764019619,0.061,0.9491683364
GRIPAP1,10,-0.260,0.96608748,-0.563,0.9071188672,-0.473,0.7324134553,-0.832,0.0655623869
GRK4,10,-0.264,0.7969192327,0.362,0.2501299362,0.161,0.6972578366,0.262,0.624153854
GRK5,10,-0.219,0.7216581329,-0.132,0.8486561768,0.172,0.7179667266,-0.130,0.6370357073
GRK6,10,0.308,0.0828710179,-0.311,0.9925040291,-0.060,0.9436019613,0.322,0.2367648978
GRK7,8,0.239,0.4834481199,-0.185,0.5992984313,-0.144,0.9448090204,0.220,0.5925965358
GRM1,10,-0.346,0.4940892339,-1.411,0.6267821274,-0.232,0.861807575,-0.580,0.9429044655
GRM2,9,0.081,0.8646160339,0.128,0.3776792727,-0.203,0.8147596193,-0.061,0.6489912465
GRM3,9,0.205,0.3387332796,-0.286,0.6540911579,0.074,0.7652883238,-0.310,0.6244150813
GRM4,9,-0.074,0.9667265483,-0.667,0.7894368324,-0.257,0.7038858561,-0.052,0.928041854
GRM5,10,0.114,0.242995473,0.128,0.5849126592,0.237,0.2277124511,0.188,0.8888178228
GRM6,10,0.238,0.0369844624,0.067,0.0326032154,-0.240,0.8941113736,0.014,0.8468276704
GRM7,9,0.147,0.6935066509,-0.169,0.9000851176,-0.170,0.8233408797,0.076,0.936689398
GRM8,9,-0.026,0.8510692732,-0.198,0.7976226783,0.371,0.3115156907,-0.252,0.5396567196
GRN,8,-0.175,0.9982091945,-0.551,0.7244282136,-0.130,0.8212618373,-0.285,0.8055403292
GRP,10,0.249,0.3423926753,0.365,0.2592409241,0.328,0.1943078744,0.462,0.0104975743
GRPEL1,10,-2.068,0.0018099847,-3.478,0.0004026395,-2.483,0.0001712359,-2.420,0.000367072
GRPEL2,10,0.060,0.4139433196,0.234,0.5032030984,0.303,0.0987826855,0.331,0.2302739429
GRPR,10,0.173,0.3281853967,0.546,0.037347172,0.260,0.2816428939,0.389,0.2554034742
GRSF1,10,-0.685,0.1239556701,0.089,0.4482566423,-1.113,0.0003414453,-0.450,0.1256067233
GRTP1,9,0.364,0.0474235583,0.297,0.4288625914,0.125,0.8290657824,0.014,0.2908449329
GRWD1,8,-1.724,0.0022688772,-3.245,0.0006600342,-1.448,0.0124674391,-1.194,0.0035851379
GRXCR1,9,0.103,0.2468049599,0.591,0.0880213411,0.464,0.0865748887,-0.001,0.8266084551
GRXCR2,10,0.193,0.1682586002,0.113,0.5960872246,0.139,0.7652883238,0.029,0.9855587319
GSAP,9,0.183,0.2678960995,-0.057,0.8827384563,0.057,0.9858708222,-0.104,0.8530075842
GSC,7,0.289,0.3524579216,0.134,0.3356621387,0.057,0.5899584861,-0.042,0.9957513502
GSC2,10,-0.394,0.9208535434,-1.927,0.0020977098,0.031,0.9897519609,-0.161,0.9832467102
GSDMA,9,-0.814,0.3608282288,-0.468,0.9869249766,-0.934,0.6587215556,-0.502,0.8424209457
GSDMB,10,-0.100,0.9801241837,-0.322,0.5992984313,-0.144,0.9814531665,-0.023,0.5390956849
GSDMC,10,-1.128,0.3426212981,-1.309,0.7950496445,-0.918,0.9188380712,-0.405,0.7838762675
GSDMD,10,-0.540,0.1376945735,-0.447,0.5828627994,-0.141,0.5607996726,-0.130,0.8812957291
GSE1,10,-0.492,0.053128027,-1.311,0.0123342284,-0.127,0.9464174813,-0.389,0.348147505
GSG1,9,-0.028,0.7288041388,-0.164,0.8098604797,-0.090,0.9332199305,0.143,0.5157088748
GSG1L,10,-0.166,0.1846681451,-0.456,0.5992984313,-0.407,0.9057323997,-0.074,0.4989203953
GSG2,9,-0.574,0.2847698208,-0.957,0.9119734734,0.069,0.7943064164,-0.575,0.5507168309
GSK3A,9,-0.352,0.3272838636,-0.092,0.7623533002,0.045,0.8183807956,-0.160,0.8670175555
GSK3B,10,-0.368,0.2569820708,-0.050,0.867499071,0.586,0.0065498637,0.000,0.7364410123
GSKIP,9,0.313,0.2168008,0.450,0.1289923881,0.188,0.5590663777,0.130,0.5120887652
GSN,8,0.096,0.5930090369,-0.163,0.9375976677,0.038,0.9043058631,0.077,0.6958217524
GSPT1,10,-1.980,0.0002608647,-1.672,0.0272945754,-2.059,0.00064093,-1.381,0.0472957132
GSPT2,10,-0.347,0.7249688715,-0.391,0.7222400386,-0.089,0.8529641737,0.250,0.1483242784
GSR,8,-0.262,0.4978135289,-0.441,0.9734781216,0.192,0.8171823216,0.062,0.8024460199
GSS,9,-1.563,0.0001008354,-0.897,0.0074766681,-0.537,0.086070074,0.012,0.9072403918
GSTA1,10,-0.013,0.9267442528,0.046,0.7352358928,0.141,0.7017327005,0.243,0.6720992647
GSTA2,10,-0.320,0.6998799633,-0.437,0.6840573695,0.110,0.7562042401,0.253,0.3339099247
GSTA3,10,0.099,0.5013810577,-0.056,0.8481118621,-0.177,0.9845771573,0.139,0.3745860393
GSTA4,10,0.081,0.3495033762,0.485,0.2115266666,-0.009,0.7553620781,0.304,0.632057895
GSTA5,10,0.023,0.6458447217,0.342,0.2143079674,0.101,0.5774385553,0.506,0.0435750559
GSTCD,9,0.087,0.50983369,0.304,0.3031209644,-0.015,0.8134389971,0.121,0.7795294575
GSTK1,8,0.377,0.3441534677,0.472,0.251216985,0.382,0.4051797811,0.446,0.1199525391
GSTM1,10,0.428,0.0330086475,0.637,0.0012272186,0.065,0.9386223893,0.151,0.5451327255
GSTM2,10,0.281,0.2864588119,-0.777,0.2465603719,0.195,0.7028970872,0.181,0.6066530003
GSTM3,10,-0.015,0.9070827335,-0.511,0.2572313424,-0.210,0.7909851482,0.307,0.5911278052
GSTM4,10,-0.298,0.111681918,-0.791,0.2442092504,0.134,0.8657836335,0.132,0.5699787024
GSTM5,10,-0.119,0.8848952501,-0.494,0.9718954009,0.060,0.8750283376,-0.018,0.7936240733
GSTO1,10,0.304,0.1119474301,0.200,0.1940536444,0.215,0.3403663041,0.497,0.0567511598
GSTO2,10,0.150,0.6575047264,0.379,0.0860725954,0.203,0.3942526051,0.249,0.4398894679
GSTP1,10,-0.354,0.6878017048,-1.259,0.0312215814,-0.046,0.8624957158,-0.129,0.9973389228
GSTT1,9,0.522,0.0116541019,0.176,0.5425945127,0.277,0.142731009,0.207,0.7328092562
GSTT2,10,-0.396,0.2206906918,0.068,0.6915153176,-0.749,0.1612832777,-0.374,0.766552741
GSTT2B,9,-0.467,0.1149480149,-0.054,0.8755123627,-0.773,0.2737616861,-0.300,0.8991179189
GSTZ1,10,0.105,0.50983369,0.307,0.1915731324,0.086,0.7725898992,0.199,0.6481552846
GSX1,9,0.016,0.4018748921,0.384,0.1418559557,0.019,0.6925079103,-0.043,0.587047508
GSX2,10,-0.427,0.9325706481,0.012,0.5797404241,-0.015,0.8557129821,-0.089,0.7383097713
GTDC1,10,0.147,0.3251673264,-0.123,0.9933872969,0.041,0.810991315,0.197,0.6220636415
GTF2A1,10,-0.649,0.2042606004,-0.857,0.6267821274,-1.127,0.0152981893,-1.090,0.0050454977
GTF2A1L,10,0.011,0.8475072479,0.251,0.2046055331,0.082,0.8397649492,0.032,0.6610633355
GTF2A2,10,-0.812,0.3356965412,-1.810,0.100676586,-0.985,0.1478237436,-1.285,0.0039437955
GTF2B,10,-2.624,8.16E-05,-2.950,0.0012551507,-2.668,5.98E-05,-2.808,4.44E-05
GTF2E1,10,-0.964,0.0378952562,-1.590,0.0493306326,-1.388,0.0052508078,-0.950,0.011363675
GTF2E2,10,-0.762,0.2556198217,-1.358,0.0281184306,-1.397,0.0025408997,-2.443,7.66E-05
GTF2F1,8,-0.583,0.4994320917,-1.078,0.140558297,-0.551,0.2152117199,-0.978,0.2009570843
GTF2F2,10,-0.871,0.0082146716,-1.799,0.0728745335,-1.266,0.030050336,-1.612,0.0065060201
GTF2H1,10,-1.140,0.0008788488,-0.897,0.148337643,-1.168,0.0014299771,-1.114,0.0337400109
GTF2H2,10,-1.430,0.020500157,-1.296,0.1376027809,-2.223,0.0094350286,-1.655,0.0025906215
GTF2H2C,10,-1.730,0.0025998702,-1.356,0.0838134024,-2.720,2.96E-05,-1.974,7.77E-05
GTF2H3,10,-1.761,0.0066044764,-2.936,0.000374784,-1.592,0.0022006622,-1.056,0.0112440364
GTF2H4,9,-2.148,8.18E-05,-2.389,0.0004542256,-1.934,0.0004975417,-1.245,0.0032909519
GTF2H5,8,0.129,0.5870528584,-0.446,0.7198552143,0.180,0.4976825622,0.137,0.2253415747
GTF2I,10,-0.277,0.676122566,-0.598,0.8577473496,-0.484,0.9758459084,0.239,0.6491801288
GTF2IRD1,6,0.015,0.6447393861,-0.170,0.8712161561,0.491,0.157675311,0.488,0.2367648978
GTF2IRD2,10,-0.296,0.8869630172,-0.220,0.8396894041,-0.285,0.310494045,-0.057,0.9563148181
GTF2IRD2B,10,-0.319,0.8023596975,-0.262,0.6868857216,-0.555,0.310494045,-0.289,0.9998382227
GTF3A,8,-2.666,0.0004174036,-2.818,0.0155721109,-1.799,0.0015640499,-1.713,0.0149677252
GTF3C1,10,-2.004,0.0006798971,-3.408,0.0012255992,-2.228,0.0002712046,-2.151,6.06E-05
GTF3C2,10,-1.611,0.0186445489,-3.794,0.0068321417,-1.662,0.0457798217,-1.310,0.019554238
GTF3C3,10,-1.612,0.0010477065,-1.605,0.0176496591,-1.165,0.0023325643,-0.957,0.0785498607
GTF3C4,8,-1.643,0.0025577178,-2.189,0.0267997077,-1.339,0.1869596097,-1.360,0.0441871043
GTF3C5,9,-1.009,0.2247156475,-1.407,0.1665503394,-1.392,0.0007887357,-1.550,0.0171311041
GTF3C6,9,-0.552,0.7382530726,-0.310,0.6589689608,-0.413,0.4382749889,-0.454,0.6966710929
GTPBP1,10,-0.086,0.9471872801,-0.077,0.841752692,-0.035,0.6689270374,-0.161,0.872491795
GTPBP10,10,-0.761,0.1005789817,-0.192,0.9651751095,-0.663,0.4254106871,0.121,0.4124500394
GTPBP2,10,0.194,0.6640420224,-0.324,0.2681766079,0.234,0.2086904931,-0.017,0.9284045881
GTPBP3,9,-0.301,0.8794448056,-0.269,0.5435259499,-0.466,0.2834286736,-0.512,0.1623003293
GTPBP4,9,-1.347,0.0025392669,-2.946,0.0022747837,-2.604,0.00041332,-2.099,5.86E-05
GTPBP8,10,-0.995,0.0089828516,-0.536,0.1472342913,-0.755,0.0385156832,-0.828,0.0191964299
GTSE1,9,-0.749,0.0559245257,-0.307,0.8782390918,-0.170,0.9586505363,-0.044,0.834973936
GTSF1,10,0.089,0.7725707811,0.104,0.7454178347,0.378,0.110422562,0.299,0.3763941381
GTSF1L,9,0.157,0.414335824,0.104,0.3993435833,0.208,0.5578497843,0.082,0.9209703042
GUCA1A,10,-0.139,0.3902196185,-0.265,0.4922919335,0.084,0.7575229609,0.028,0.9545336334
GUCA1B,9,-0.177,0.8626065365,-0.171,0.6663451744,-0.146,0.9586505363,-0.095,0.8007370784
GUCA1C,8,0.066,0.2440324601,0.462,0.0371358542,0.518,0.1062802302,0.433,0.0424667006
GUCA2A,10,-0.210,0.9998153218,-0.599,0.8256416898,-0.249,0.7275118451,-0.304,0.8186147061
GUCA2B,9,0.218,0.022488709,-0.293,0.9996905677,0.097,0.8207500301,-0.193,0.9735391705
GUCD1,10,-0.154,0.7007795854,-1.340,0.7152867881,-0.265,0.7171659849,-0.263,0.7325032998
GUCY1A2,10,-0.107,0.9954055795,-0.508,0.8580958676,-0.565,0.4840281853,-0.541,0.885101527
GUCY1A3,10,0.092,0.3690495433,0.063,0.6850525182,0.252,0.6156231886,0.494,0.0166392669
GUCY1B3,9,0.131,0.5177604718,0.595,0.0193200838,0.229,0.49486155,0.452,0.0890515522
GUCY2C,9,-0.083,0.7719276992,0.353,0.2216087985,0.069,0.7968721476,0.471,0.2302739429
GUCY2D,9,-0.254,0.7449094115,0.264,0.1083064978,-0.423,0.6597935003,0.060,0.9195205405
GUCY2F,9,0.249,0.189325237,0.385,0.0733758191,-0.038,0.8692929475,0.306,0.3924568282
GUF1,10,0.038,0.6466218481,0.660,0.0111746779,0.173,0.7580069738,0.364,0.1330101917
GUK1,10,-2.112,0.0041873448,-3.482,0.0018216135,-3.153,3.46E-05,-1.950,0.0005070384
GULP1,10,0.348,0.033709463,0.330,0.3518083047,0.511,0.1381987465,0.246,0.5545827018
GUSB,8,0.025,0.5404395109,-0.126,0.3650681435,0.133,0.6308998022,-0.028,0.9342578738
GXYLT1,7,-0.170,0.9116343291,-0.002,0.8494942265,0.024,0.9909719195,0.253,0.2918463756
GXYLT2,9,0.101,0.7380491658,0.176,0.4933521693,0.033,0.7639462893,0.075,0.5498148651
GYG1,10,0.263,0.0877002892,0.102,0.3271605309,0.282,0.3605413677,0.287,0.4206579048
GYG2,10,0.377,0.0083182919,0.374,0.2062871364,0.248,0.4712209287,0.457,0.1551703585
GYLTL1B,9,0.177,0.3440136529,-0.574,0.5426036456,0.435,0.082277777,0.083,0.7958542248
GYPA,10,0.124,0.1153636529,0.247,0.3542474904,0.172,0.7183482795,0.222,0.6050537286
GYPB,5,0.294,0.1964504322,0.441,0.3888167571,0.416,0.3561931009,0.128,0.8747091528
GYPC,9,0.295,0.3184136874,-0.133,0.6685664484,0.150,0.6350147913,-0.167,0.8798421119
GYPE,6,0.396,0.1028994179,0.329,0.2005554197,0.365,0.5536949556,-0.187,0.9634519889
GYS1,9,-0.116,0.7352715272,-0.291,0.5370769319,-0.261,0.8457639991,-0.469,0.3191966037
GYS2,10,0.153,0.3184136874,-0.032,0.7999844235,0.203,0.3960989981,0.271,0.2611458536
GZF1,10,-0.664,0.6994598302,-0.637,0.6583919808,-0.275,0.6725422444,-0.453,0.5813349274
GZMA,10,-0.021,0.7699645272,-0.118,0.5364630509,0.071,0.8540679246,0.228,0.3206311834
GZMB,10,-0.028,0.9709644623,-0.384,0.3841854589,-0.191,0.8769292685,-0.196,0.7795294575
GZMH,9,0.064,0.6903556921,0.095,0.5473191835,0.035,0.8207500301,-0.032,0.9999747007
GZMK,8,0.168,0.3307647968,-0.051,0.5220345025,0.016,0.8346094754,-0.021,0.5632142594
GZMM,9,-0.136,0.7742723271,0.001,0.8134049376,0.110,0.8118328769,-0.155,0.4959544889
H1F0,9,-0.246,0.156955007,-0.491,0.6769606374,-0.064,0.9614863307,0.020,0.9996777582
H1FNT,10,-0.107,0.6274714605,-0.607,0.2378893104,-0.060,0.7148255794,-0.289,0.7247882827
H1FOO,9,-0.133,0.9605414839,-0.199,0.81286273,-0.098,0.8377572747,0.048,0.9382763289
H1FX,10,-0.058,0.6394605846,0.248,0.370742683,0.059,0.8825291654,0.246,0.4452667218
H2AFB1,9,-0.479,0.3720984507,-0.407,0.8111151408,-0.180,0.5696531221,0.146,0.6734738134
H2AFB2,8,-0.700,0.0377792983,-0.373,0.5251418768,-0.290,0.2910332174,0.147,0.4335092227
H2AFB3,8,-0.700,0.0377792983,-0.373,0.5251418768,-0.290,0.2910332174,0.147,0.4335092227
H2AFJ,8,-0.893,0.897765151,-0.852,0.9979975415,-0.291,0.8309719856,-0.400,0.9797404004
H2AFV,9,-0.115,0.6471594925,0.183,0.2692109959,0.106,0.8760946955,-0.013,0.8177390295
H2AFX,9,-1.493,0.0006795404,-0.204,0.9668728682,-0.181,0.9718605605,0.056,0.4465420344
H2AFY,9,0.172,0.3274830968,0.108,0.5914647197,-0.146,0.9346739621,-0.197,0.6335998051
H2AFY2,9,-0.247,0.7645014223,-0.893,0.0965724303,-0.117,0.9726951334,-0.021,0.7361055305
H2AFZ,10,-0.816,0.0968925612,-1.391,0.5670216601,-0.964,0.0154133625,-0.964,0.0456332018
H2BFM,10,0.292,0.0918596333,0.202,0.2216083445,0.321,0.3746230526,0.698,0.064103046
H2BFWT,8,0.012,0.9600675051,0.169,0.5288280641,0.030,0.8471794629,-0.038,0.6683753386
H3F3A,7,-0.902,0.2569820708,-2.415,0.1886539024,-1.677,0.3702170869,-0.937,0.4106568954
