Gene,sgRNAs included,KBM7 CS,KBM7 adjusted p-value,K562 CS,K562 adjusted p-value,Jiyoye CS,Jiyoye adjusted p-value,Raji CS,Raji adjusted p-value
UBE2A,10,0.083,0.6180435759,-1.133,0.0055563855,0.157,0.7136765031,-0.285,0.4278483886
UBE2B,10,0.223,0.2112232122,0.318,0.3926229216,0.263,0.6597935003,0.218,0.5938685025
UBE2C,9,0.109,0.7210885847,0.020,0.454791968,-0.507,0.1901014503,-0.144,0.9518529774
UBE2D1,9,0.270,0.1446693623,-0.068,0.4328016533,0.303,0.5852839571,0.415,0.4740858832
UBE2D2,9,-0.147,0.8700027732,0.120,0.7836591247,0.117,0.5859061975,0.327,0.3485239099
UBE2D3,10,-0.947,0.3711243625,-0.011,0.5709390132,-0.243,0.6616987079,0.491,0.018265741
UBE2D4,9,0.206,0.3397381171,-0.244,0.735754361,0.136,0.4601600098,-0.164,0.6838249412
UBE2E1,10,-0.734,0.0777097536,-0.259,0.48174775,-0.176,0.6964881621,-0.048,0.9116256089
UBE2E2,9,-0.074,0.5158973741,0.162,0.2973938647,0.287,0.7562042401,0.316,0.3008144787
UBE2E3,9,-0.157,0.5995347198,-0.003,0.880130539,0.383,0.3017224257,0.357,0.1810451598
UBE2F,9,0.439,0.0119043434,0.326,0.176182122,0.420,0.0981693395,0.561,0.1432447652
UBE2G1,9,-0.051,0.5852445329,0.546,0.0448377799,0.063,0.5723580559,0.329,0.5345104991
UBE2G2,10,-0.178,0.9024431261,-0.354,0.4741409277,-1.207,0.0027772052,-0.059,0.907546536
UBE2H,10,-0.118,0.8330953375,-0.392,0.7090530859,-0.034,0.9957361334,0.518,0.1733162287
UBE2I,10,-1.946,0.0003236849,-4.185,7.06E-05,-2.175,0.0002114281,-1.912,0.0016345252
UBE2J1,10,-0.184,0.6726747806,0.179,0.5298583089,-1.260,0.0038390657,0.192,0.275522006
UBE2J2,9,-0.802,0.1558126626,-0.654,0.2872286083,-0.174,0.800126056,0.093,0.9460415337
UBE2K,10,-1.016,0.0047686148,-0.395,0.5033675811,-0.076,0.9205841599,0.419,0.3022452525
UBE2L3,8,-1.661,0.0121560999,-3.230,0.0001204278,-1.170,0.0018729316,-0.909,0.1939574409
UBE2L6,9,0.158,0.4758646495,-0.596,0.1746738535,0.029,0.9648574409,0.374,0.0962998238
UBE2M,10,-2.949,0.0012500252,-3.333,0.0019779634,-1.649,0.0162925146,-1.644,0.0025906215
UBE2N,8,-1.637,0.0623944865,-3.224,0.0009380753,-0.783,0.1220225607,-1.273,0.0752289916
UBE2NL,9,0.312,0.2740297261,0.703,0.0206025467,0.207,0.4937741599,0.373,0.1147170183
UBE2O,9,-0.460,0.6986005742,-0.675,0.6137772329,-0.195,0.8649842187,-0.433,0.928041854
UBE2Q1,9,0.110,0.4965743969,0.279,0.1568907105,-0.924,0.0060059418,-0.763,0.3219345703
UBE2Q2,9,-0.184,0.8791183886,0.389,0.1736580268,0.010,0.9007253144,0.041,0.7797810614
UBE2QL1,9,0.068,0.9005603049,0.131,0.8866946313,-0.028,0.74713138,-0.026,0.9997399964
UBE2R2,9,-0.439,0.8279839896,-0.672,0.7894368324,-0.010,0.5908138606,-0.003,0.8217991097
UBE2S,10,-1.153,0.0226296415,-1.823,0.0086838773,0.016,0.6837552963,0.452,0.1111513727
UBE2T,10,-0.843,0.1290457378,0.228,0.3478899172,-0.426,0.1970873387,-0.503,0.5811296794
UBE2U,9,0.164,0.1402464852,0.473,0.0940546755,0.088,0.5866542381,0.180,0.3316998045
UBE2V1,9,-0.790,0.3564338085,-0.707,0.7469428196,-0.528,0.9955930432,-0.092,0.8951827956
UBE2V2,10,-0.581,0.164790412,-0.359,0.6691543343,0.176,0.6762674672,-0.070,0.8131341466
UBE2W,9,-0.045,0.8454783677,0.086,0.6613804084,0.061,0.9426852407,0.273,0.335141696
UBE2Z,10,-0.123,0.9350659683,-0.573,0.1891062965,-0.361,0.87757722,-0.408,0.1364073538
UBE3A,10,-0.176,0.7481468164,0.227,0.1119357831,-0.323,0.3133216831,-0.239,0.8144222
UBE3B,9,-0.243,0.8382381758,-0.410,0.9210382122,0.200,0.8156039428,0.085,0.5254345677
UBE3C,10,-0.023,0.828795235,-0.815,0.6549211565,0.102,0.5676253646,-0.148,0.9955573069
UBE3D,9,-0.599,0.0758567418,-1.037,0.0693317912,0.249,0.4865462564,0.211,0.766552741
UBE4A,8,-0.228,0.4641676196,0.380,0.1573573692,0.188,0.8489195696,0.245,0.7576672567
UBE4B,9,-1.115,0.0040456287,0.872,0.0096524116,-0.061,0.9897519609,-0.573,0.1623685188
UBFD1,9,-0.285,0.9887746529,0.322,0.2149527322,-0.073,0.8550544281,0.361,0.4097004
